doi,pdf,status,reason,n_chunks
10.1007/s10236-025-01665-8,10.1007_s10236-025-01665-8.pdf,excluded,wrong_content: HAL repository landing (PUBLIER EN SCIENCES),0
10.1007/s10661-020-08603-9,10.1007_s10661-020-08603-9.pdf,excluded,"wrong_granularity: 244k chars, 7% title overlap",0
10.1007/s11367-014-0709-2,10.1007_s11367-014-0709-2.pdf,excluded,wrong_content: different document (NREAP projections),0
10.1016/j.apenergy.2009.05.031,10.1016_j.apenergy.2009.05.031.pdf,excluded,"wrong_content: Cyprus Open Science policy, not the Naxos paper",0
10.1016/j.coastaleng.2020.103790,10.1016_j.coastaleng.2020.103790.pdf,excluded,wrong_content: End User Agreement wrapper page,0
10.1016/j.ecolmodel.2013.09.025,10.1016_j.ecolmodel.2013.09.025.pdf,excluded,wrong_content: End User Agreement wrapper (CentAUR),0
10.1016/j.renene.2016.10.035,10.1016_j.renene.2016.10.035.pdf,excluded,wrong_content: Data Protection statement wrapper,0
10.1016/j.renene.2018.10.090,10.1016_j.renene.2018.10.090.pdf,excluded,"wrong_granularity: 52k chars, 0% title overlap",0
10.1080/00207543.2017.1403661,10.1080_00207543.2017.1403661.pdf,excluded,wrong_content: Data Protection statement wrapper (duplicate),0
10.11646/zootaxa.5741.1.6,10.11646_zootaxa.5741.1.6.pdf,excluded,"wrong_granularity: 1M-char whole Zootaxa volume, not the article",0
10.17736/ijope.2017.cl03,10.17736_ijope.2017.cl03.pdf,excluded,wrong_content: different ISOPE article bound in,0
10.17736/ijope.2025.jc939,10.17736_ijope.2025.jc939.pdf,excluded,wrong_content: ISOPE membership form,0
10.2423/i22394303v6sp1,10.2423_i22394303v6sp1.pdf,excluded,wrong_content: OAR@UM repository landing page,0
10.3390/jmse10122017,10.3390_jmse10122017.pdf,excluded,wrong_content: OAR@UM repository landing page (duplicate),0
10.3391/ai.2016.11.4.08,10.3391_ai.2016.11.4.08.pdf,excluded,wrong_content: different article (Comments on Mediterranean...),0
10.1002/2688-8319.12373,10.1002_2688-8319.12373.pdf,included,"grobid: 7 sections, 6 captions",49
10.1002/2688-8319.70039,10.1002_2688-8319.70039.pdf,included,"grobid: 7 sections, 4 captions",39
10.1002/edn3.575,10.1002_edn3.575.pdf,included,"grobid: 20 sections, 16 captions",81
10.1002/esp.5880,10.1002_esp.5880.pdf,included,"grobid: 24 sections, 11 captions",86
10.1002/mcf2.10265,10.1002_mcf2.10265.pdf,included,"grobid: 12 sections, 9 captions",67
10.1002/nsg.12068,10.1002_nsg.12068.pdf,included,"grobid: 8 sections, 6 captions",55
10.1002/qj.2484,10.1002_qj.2484.pdf,included,"grobid: 16 sections, 19 captions",93
10.1002/we.1498,10.1002_we.1498.pdf,included,"grobid: 7 sections, 7 captions",56
10.1002/we.1659,10.1002_we.1659.pdf,included,"grobid: 30 sections, 44 captions",96
10.1002/we.2456,10.1002_we.2456.pdf,included,"grobid: 17 sections, 6 captions",59
10.1002/we.2669,10.1002_we.2669.pdf,included,"grobid: 15 sections, 12 captions",73
10.1002/we.309,10.1002_we.309.pdf,included,"grobid: 12 sections, 4 captions",79
10.1002/we.537,10.1002_we.537.pdf,included,"grobid: 14 sections, 8 captions",58
10.1002/wene.533,10.1002_wene.533.pdf,included,"grobid: 24 sections, 8 captions",94
10.1007/978-1-4020-6442-5_5,10.1007_978-1-4020-6442-5_5.pdf,included,"grobid: 2 sections, 0 captions",6
10.1007/978-1-4939-2981-8_23,10.1007_978-1-4939-2981-8_23.pdf,included,"grobid: 5 sections, 3 captions",16
10.1007/978-3-030-05520-2_10,10.1007_978-3-030-05520-2_10.pdf,included,"grobid: 13 sections, 5 captions",37
10.1007/978-3-031-50256-9_13,10.1007_978-3-031-50256-9_13.pdf,included,"grobid: 95 sections, 78 captions",372
10.1007/978-3-031-50256-9_14,10.1007_978-3-031-50256-9_14.pdf,included,"grobid: 1 sections, 0 captions",13
10.1007/978-3-031-90050-1_12,10.1007_978-3-031-90050-1_12.pdf,included,"grobid: 93 sections, 41 captions",236
10.1007/978-3-319-39745-0_14,10.1007_978-3-319-39745-0_14.pdf,included,"grobid: 10 sections, 5 captions",33
10.1007/978-3-540-33866-6_14,10.1007_978-3-540-33866-6_14.pdf,included,"grobid: 4 sections, 2 captions",8
10.1007/978-3-540-34677-7_10,10.1007_978-3-540-34677-7_10.pdf,included,"grobid: 3 sections, 0 captions",6
10.1007/978-3-540-34677-7_11,10.1007_978-3-540-34677-7_11.pdf,included,"grobid: 1 sections, 0 captions",6
10.1007/978-3-540-34677-7_12,10.1007_978-3-540-34677-7_12.pdf,included,"grobid: 1 sections, 0 captions",6
10.1007/978-3-540-34677-7_13,10.1007_978-3-540-34677-7_13.pdf,included,"grobid: 1 sections, 0 captions",7
10.1007/978-3-540-34677-7_16,10.1007_978-3-540-34677-7_16.pdf,included,"grobid: 2 sections, 1 captions",5
10.1007/978-3-540-34677-7_9,10.1007_978-3-540-34677-7_9.pdf,included,"grobid: 1 sections, 0 captions",3
